Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-11-15T06:00:00+00,deposit,Interest paid,7.31,0871,,19095.90,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-12-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4642.91,0871,,23738.81,ONLINE TRANSFER FROM CHK 0625 REF#OT2412031 MONTHLY SWEEP
2024-12-16T06:00:00+00,deposit,Interest paid,9.42,0871,,23748.23,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2024-12-27T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,23736.23,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2025-01-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4323.26,0871,,28059.49,ONLINE TRANSFER FROM CHK 0625 REF#OT2501031 MONTHLY SWEEP
2025-01-15T06:00:00+00,deposit,Interest paid,10.61,0871,,28070.10,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-01-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-8917.93,0871,,19152.17,IRS       USATAXPYMT 277126465 FFM MEDICAL PLLC
2025-02-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4412.70,0871,,23564.87,ONLINE TRANSFER FROM CHK 0625 REF#OT2502031 MONTHLY SWEEP
2025-02-17T06:00:00+00,deposit,Interest paid,8.59,0871,,23573.46,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-03-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4538.66,0871,,28112.12,ONLINE TRANSFER FROM CHK 0625 REF#OT2503031 MONTHLY SWEEP
2025-03-17T06:00:00+00,deposit,Interest paid,9.28,0871,,28121.40,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-03-28T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,28109.40,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2025-04-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4924.35,0871,,33033.75,ONLINE TRANSFER FROM CHK 0625 REF#OT2504031 MONTHLY SWEEP
2025-04-15T06:00:00+00,deposit,Interest paid,11.37,0871,,33045.12,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-04-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-8469.28,0871,,24575.84,IRS       USATAXPYMT 274870674 FFM MEDICAL PLLC
2025-05-05T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4896.74,0871,,29472.58,ONLINE TRANSFER FROM CHK 0625 REF#OT2505051 MONTHLY SWEEP
2025-05-15T06:00:00+00,deposit,Interest paid,8.93,0871,,29481.51,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-06-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4901.09,0871,,34382.60,ONLINE TRANSFER FROM CHK 0625 REF#OT2506031 MONTHLY SWEEP
2025-06-16T06:00:00+00,deposit,Interest paid,11.47,0871,,34394.07,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-06-17T06:00:00+00,withdrawal,"Exam room refit, 2 rooms",-11200.00,0871,,23194.07,HENRY SCHEIN    INV 88120345 CAPITAL
2025-06-27T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,23182.07,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2025-07-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4874.27,0871,,28056.34,ONLINE TRANSFER FROM CHK 0625 REF#OT2507031 MONTHLY SWEEP
2025-07-15T06:00:00+00,deposit,Interest paid,11.37,0871,,28067.71,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-07-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-7939.75,0871,,20127.96,IRS       USATAXPYMT 271622756 FFM MEDICAL PLLC
2025-08-04T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4964.78,0871,,25092.74,ONLINE TRANSFER FROM CHK 0625 REF#OT2508041 MONTHLY SWEEP
2025-08-15T06:00:00+00,deposit,Interest paid,10.97,0871,,25103.71,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-09-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5136.07,0871,,30239.78,ONLINE TRANSFER FROM CHK 0625 REF#OT2509031 MONTHLY SWEEP
2025-09-10T06:00:00+00,withdrawal,Medical malpractice premium,-6327.11,0871,,23912.67,MEDPRO GROUP    INS PREM 8841027 FFM MEDICAL PLLC
2025-09-15T06:00:00+00,deposit,Interest paid,10.76,0871,,23923.43,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-09-26T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,23911.43,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2025-10-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5188.67,0871,,29100.10,ONLINE TRANSFER FROM CHK 0625 REF#OT2510031 MONTHLY SWEEP
2025-10-15T06:00:00+00,deposit,Interest paid,11.12,0871,,29111.22,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-10-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-8242.79,0871,,20868.43,IRS       USATAXPYMT 271076797 FFM MEDICAL PLLC
2025-11-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4937.27,0871,,25805.70,ONLINE TRANSFER FROM CHK 0625 REF#OT2511031 MONTHLY SWEEP
2025-11-17T06:00:00+00,deposit,Interest paid,12.12,0871,,25817.82,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-12-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5159.56,0871,,30977.38,ONLINE TRANSFER FROM CHK 0625 REF#OT2512031 MONTHLY SWEEP
2025-12-15T06:00:00+00,deposit,Interest paid,12.16,0871,,30989.54,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2025-12-19T06:00:00+00,transfer,Transfer to Checking 0625 (payroll cover),-14000.00,0871,,16989.54,ONLINE TRANSFER TO CHK 0625 REF#OT2512190 PAYROLL COVER
2025-12-26T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,16977.54,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2026-01-05T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),4955.95,0871,,21933.49,ONLINE TRANSFER FROM CHK 0625 REF#OT2601051 MONTHLY SWEEP
2026-01-15T06:00:00+00,deposit,Interest paid,13.47,0871,,21946.96,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-01-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-9457.30,0871,,12489.66,IRS       USATAXPYMT 275796986 FFM MEDICAL PLLC
2026-02-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5100.82,0871,,17590.48,ONLINE TRANSFER FROM CHK 0625 REF#OT2602031 MONTHLY SWEEP
2026-02-10T06:00:00+00,withdrawal,EMR server refresh,-6980.00,0871,,10610.48,CDW GOVT INC    INV 7719004 IT CAPITAL
2026-02-16T06:00:00+00,deposit,Interest paid,10.79,0871,,10621.27,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-03-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5161.28,0871,,15782.55,ONLINE TRANSFER FROM CHK 0625 REF#OT2603031 MONTHLY SWEEP
2026-03-16T06:00:00+00,deposit,Interest paid,13.13,0871,,15795.68,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-03-27T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,15783.68,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2026-04-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5239.67,0871,,21023.35,ONLINE TRANSFER FROM CHK 0625 REF#OT2604031 MONTHLY SWEEP
2026-04-15T06:00:00+00,deposit,Interest paid,14.23,0871,,21037.58,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-04-16T06:00:00+00,withdrawal,IRS USATAXPYMT estimated tax,-8168.82,0871,,12868.76,IRS       USATAXPYMT 271539817 FFM MEDICAL PLLC
2026-05-04T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5328.30,0871,,18197.06,ONLINE TRANSFER FROM CHK 0625 REF#OT2605041 MONTHLY SWEEP
2026-05-15T06:00:00+00,deposit,Interest paid,14.44,0871,,18211.50,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-06-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5260.66,0871,,23472.16,ONLINE TRANSFER FROM CHK 0625 REF#OT2606031 MONTHLY SWEEP
2026-06-15T06:00:00+00,deposit,Interest paid,15.69,0871,,23487.85,INTEREST PAYMENT ANNUAL PERCENTAGE YIELD EARNED
2026-06-26T06:00:00+00,fee,Account maintenance fee,-12.00,0871,,23475.85,SERVICE CHARGE QUARTERLY BUSINESS SAVINGS
2026-07-03T06:00:00+00,transfer,Transfer from Checking 0625 (monthly sweep),5148.56,0871,,28624.41,ONLINE TRANSFER FROM CHK 0625 REF#OT2607031 MONTHLY SWEEP
